[1][CALL] from=0x57c112, to=0x450595, 0x320bd352() -> None
  [2][CREATE] from=0x450595, to=0x499505, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x499505) -> None
  [2][CREATE] from=0x450595, to=0xec0bf0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xEc0bF0) -> None
  [2][CREATE] from=0x450595, to=0x1e6717, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1e6717) -> None
  [2][CREATE] from=0x450595, to=0xf53514, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf53514) -> None
  [2][CREATE] from=0x450595, to=0xea9703, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xEa9703) -> None
  [2][CREATE] from=0x450595, to=0x5d13b3, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x5d13b3) -> None
  [2][CREATE] from=0x450595, to=0x37d332, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x37d332) -> None
  [2][CREATE] from=0x450595, to=0x2ac126, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x2AC126) -> None
  [2][CREATE] from=0x450595, to=0xafb01f, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xafb01f) -> None
  [2][CREATE] from=0x450595, to=0xb5e21c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xB5e21c) -> None
  [2][CREATE] from=0x450595, to=0x1c5603, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x1C5603) -> None
  [2][CREATE] from=0x450595, to=0xd114a7, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xD114a7) -> None
  [2][CREATE] from=0x450595, to=0x67ab58, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x67AB58) -> None
  [2][CREATE] from=0x450595, to=0x41d7e8, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x41D7E8) -> None
  [2][CREATE] from=0x450595, to=0x134b5e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x134b5E) -> None
  [2][CREATE] from=0x450595, to=0xf04c22, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xf04c22) -> None
  [2][CREATE] from=0x450595, to=0x6e797a, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x6E797A) -> None
  [2][CREATE] from=0x450595, to=0x896b73, atInversebrahint248() -> 0x608060
